category,type,value,comment
Network activity,ip-dst,43.254.218.98,
Network activity,ip-dst,92.223.59.84,
Network activity,ip-dst,43.254.218.43,
Network activity,ip-dst,81.28.13.48,
Network activity,ip-dst,89.43.107.191,
Network activity,ip-dst,103.123.134.145,
Network activity,ip-dst,103.123.134.161,
Network activity,ip-dst,103.123.134.165,
Network activity,ip-dst,103.85.24.81,
Network activity,ip-dst,212.115.54.241,
Network activity,ip-dst,43.254.218.114,
Network activity,ip-dst,89.43.107.190,
Network activity,ip-dst,103.123.134.139,
Network activity,ip-dst,103.123.134.240,
Network activity,ip-dst,103.85.24.121,
Network activity,ip-dst,103.169.91.93,
Network activity,ip-dst,103.169.91.94,
Network activity,ip-dst,45.121.50.230,
External analysis,url,https://unit42.paloaltonetworks.com/pingpull-gallium/,
