category,type,value,comment
Payload delivery,ip-dst|port,144.202.15.58|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,149.28.63.197|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,45.77.159.252|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,149.28.38.16|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,149.28.38.16|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,96.234.66.76|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,url,https://hadujaza.com,Cobalt Strike C2
Payload delivery,ip-dst|port,186.64.67.34|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,45.63.10.144|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,72.88.245.71|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,45.63.10.144|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,134.35.10.30|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,190.44.40.48|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst,197.204.126.136,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,105.108.255.165,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,149.126.159.254,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst|port,41.96.130.46|80,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,41.98.11.74|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,100.1.5.250|995,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,193.3.19.37|443,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst|port,88.237.6.72|53,"QAKBOT ""BB"" C2 Servers"
Payload delivery,ip-dst,78.162.213.155,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,154.183.135.35,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,160.179.220.87,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,23.225.104.250,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,189.79.27.174,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,186.125.93.28,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,41.108.175.56,"QAKBOT ""Obama"" C2 Server"
Payload delivery,domain,sentisupport.com,Brute Ratel C2
Payload delivery,domain,teenieshopus.com,Brute Ratel C2
Payload delivery,ip-dst,94.52.127.44,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,41.105.54.8,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,41.96.18.5,"QAKBOT ""Obama"" C2 Server"
Payload delivery,ip-dst,45.153.242.251,Cobalt Strike C2
Payload delivery,domain,halasaloon.com,QAKBOT Phishing Domain
Payload delivery,ip-dst,45.153.242.250,Cobalt Strike C2
Payload delivery,ip-dst,45.153.241.88,Cobalt Strike C2
Payload delivery,ip-dst,45.153.241.64,Cobalt Strike C2
Payload delivery,domain,near-org.top,Brute Ratel C2
Payload delivery,domain,edmor-p.com,QAKBOT Phishing Domain
Payload delivery,domain,growin.ro,QAKBOT Phishing Domain
